测量里程,中线北坐标X,中线东坐标Y,中线高程H
279763,3805341.744,464222.1889,43.672095
279764,3805341.952,464221.2109,43.672401
279764.7,3805342.099,464220.5259,43.672637
279765,3805342.161,464220.233,43.672738
279766,3805342.37,464219.255,43.673134
279767,3805342.579,464218.277,43.673611
279768,3805342.787,464217.299,43.674347
279769,3805342.996,464216.3211,43.674954
279770,3805343.206,464215.3432,43.67516
279771,3805343.414,464214.3653,43.675466
279772,3805343.623,464213.3873,43.675793
279773,3805343.832,464212.4093,43.676219
279774,3805344.041,464211.4314,43.676636
279775,3805344.25,464210.4535,43.677142
279776,3805344.458,464209.4754,43.677499
279777,3805344.667,464208.4975,43.677895
279778,3805344.876,464207.5195,43.678392
279779,3805345.084,464206.5415,43.678998
279780,3805345.293,464205.5635,43.679485
279781,3805345.502,464204.5856,43.679541
279782,3805345.711,464203.6077,43.679687
279783,3805345.919,464202.6296,43.680024
279784,3805346.128,464201.6516,43.6807
279785,3805346.336,464200.6736,43.681307
279786,3805346.545,464199.6957,43.681983
279787,3805346.754,464198.7177,43.68268
279788,3805346.963,464197.7397,43.682756
279789,3805347.172,464196.7618,43.682633
279790,3805347.38,464195.7838,43.683169
279791,3805347.589,464194.8058,43.684056
279792,3805347.798,464193.8278,43.684552
279793,3805348.006,464192.8499,43.684929
279794,3805348.215,464191.8718,43.685385
279795,3805348.424,464190.8939,43.685861
279796,3805348.633,464189.9159,43.686558
279797,3805348.841,464188.938,43.687204
279798,3805349.05,464187.96,43.687711
279799,3805349.259,464186.982,43.688227
279800,3805349.468,464186.0041,43.688674
279801,3805349.676,464185.0261,43.68916
279802,3805349.885,464184.0481,43.689837
279803,3805350.094,464183.0701,43.690503
279804,3805350.302,464182.0921,43.69087
279805,3805350.511,464181.1141,43.691326
279806,3805350.72,464180.1362,43.691922
279807,3805350.929,464179.1582,43.692389
279808,3805351.138,464178.1803,43.692695
279809,3805351.346,464177.2023,43.693042
279810,3805351.555,464176.2244,43.693598
279811,3805351.764,464175.2464,43.694065
279812,3805351.973,464174.2685,43.694691
279813,3805352.182,464173.2905,43.695258
279814,3805352.391,464172.3126,43.695664
279815,3805352.599,464171.3346,43.696191
279816,3805352.808,464170.3566,43.696757
279817,3805353.016,464169.3786,43.697184
279818,3805353.226,464168.4007,43.69775
279819,3805353.434,464167.4228,43.698066
279820,3805353.643,464166.4447,43.698683
279821,3805353.852,464165.4668,43.699299
279822,3805354.06,464164.4888,43.699816
279823,3805354.269,464163.5107,43.700282
279824,3805354.477,464162.5327,43.700609
279825,3805354.686,464161.5547,43.701005
279826,3805354.895,464160.5768,43.701302
279827,3805355.104,464159.5989,43.701838
279828,3805355.313,464158.621,43.702155
279829,3805355.522,464157.6431,43.702251
279830,3805355.731,464156.6651,43.702307
279831,3805355.939,464155.6871,43.702914
279832,3805356.148,464154.7091,43.70371
279833,3805356.357,464153.7312,43.704397
279834,3805356.565,464152.7532,43.704933
279835,3805356.774,464151.7752,43.70538
279836,3805356.983,464150.7973,43.705626
279837,3805357.192,464149.8193,43.705683
279838,3805357.4,464148.8413,43.706219
279839,3805357.609,464147.8633,43.706946
279840,3805357.818,464146.8854,43.707222
279841,3805358.027,464145.9074,43.707619
279842,3805358.236,464144.9295,43.708045
279843,3805358.445,464143.9516,43.708211
279844,3805358.654,464142.9737,43.708308
279845,3805358.863,464141.9958,43.708394
279846,3805359.071,464141.0177,43.708671
279847,3805359.28,464140.0397,43.708947
279848,3805359.489,464139.0617,43.709424
279849,3805359.698,464138.0838,43.71024
279850,3805359.907,464137.1059,43.710727
279851,3805360.115,464136.128,43.710963
279852,3805360.324,464135.15,43.71116
279853,3805360.533,464134.172,43.711396
279854,3805360.742,464133.1941,43.711492
279855,3805360.951,464132.2161,43.711809
279856,3805361.159,464131.2382,43.712185
279857,3805361.368,464130.2602,43.712702
279858,3805361.577,464129.2823,43.713278
279859,3805361.786,464128.3044,43.713905
279860,3805361.995,464127.3264,43.714551
279861,3805362.203,464126.3484,43.715038
279862,3805362.412,464125.3704,43.715484
279863,3805362.621,464124.3924,43.715711
279864,3805362.829,464123.4144,43.716197
279865,3805363.038,464122.4365,43.716434
279866,3805363.247,464121.4586,43.71644
279867,3805363.456,464120.4807,43.716406
279868,3805363.665,464119.5027,43.716743
279869,3805363.874,464118.5248,43.716759
279870,3805364.083,464117.5468,43.716906
279871,3805364.292,464116.5688,43.717232
279872,3805364.5,464115.5908,43.717989
279873,3805364.709,464114.6129,43.718755
279874,3805364.918,464113.635,43.719392
279875,3805365.127,464112.6571,43.719808
279876,3805365.336,464111.6791,43.720145
279877,3805365.545,464110.7012,43.720751
279878,3805365.754,464109.7232,43.721407
279879,3805365.962,464108.7453,43.721794
279880,3805366.171,464107.7673,43.72223
279881,3805366.38,464106.7894,43.723027
279882,3805366.589,464105.8114,43.723843
279883,3805366.798,464104.8335,43.72458
279884,3805367.007,464103.8555,43.725046
279884.668,3805367.146,464103.2026,43.725291
279885,3805367.215,464102.8775,43.725413
279886,3805367.424,464101.8996,43.725539
279887,3805367.633,464100.9216,43.725746
279888,3805367.841,464099.9436,43.726382
279889,3805368.05,464098.9657,43.726749
279890,3805368.259,464097.9878,43.726925
279891,3805368.468,464097.0098,43.727561
279892,3805368.677,464096.0318,43.728458
279893,3805368.886,464095.0538,43.728854
279894,3805369.095,464094.0759,43.729151
279895,3805369.304,464093.098,43.729547
279896,3805369.513,464092.1201,43.730154
279897,3805369.722,464091.1422,43.73062
279898,3805369.93,464090.1642,43.731067
279899,3805370.139,464089.1862,43.731853
279900,3805370.348,464088.2082,43.73265
279901,3805370.556,464087.2302,43.732846
279902,3805370.765,464086.2523,43.732792
279903,3805370.974,464085.2744,43.733079
279904,3805371.183,464084.2964,43.733495
279905,3805371.391,464083.3184,43.733912
279906,3805371.6,464082.3405,43.734088
279907,3805371.809,464081.3625,43.734655
279908,3805372.018,464080.3846,43.735251
279909,3805372.227,464079.4067,43.735678
279910,3805372.436,464078.4287,43.736144
279911,3805372.644,464077.4507,43.736781
279912,3805372.853,464076.4727,43.737397
279913,3805373.062,464075.4947,43.737754
279914,3805373.27,464074.5167,43.73793
279915,3805373.479,464073.5387,43.738216
279916,3805373.688,464072.5607,43.738533
279917,3805373.896,464071.5828,43.739209
279918,3805374.105,464070.6048,43.739936
279919,3805374.314,464069.6269,43.740442
279920,3805374.523,464068.649,43.740819
279921,3805374.732,464067.671,43.741295
279922,3805374.941,464066.6931,43.741852
279923,3805375.15,464065.7152,43.742508
279924,3805375.359,464064.7372,43.742885
279925,3805375.567,464063.7592,43.743201
279926,3805375.776,464062.7812,43.743907
279927,3805375.985,464061.8032,43.744424
279928,3805376.194,464060.8253,43.7447
279929,3805376.402,464059.8473,43.745207
279930,3805376.611,464058.8694,43.745993
279931,3805376.82,464057.8914,43.74663
279932,3805377.029,464056.9135,43.747436
279933,3805377.238,464055.9356,43.748283
279934,3805377.447,464054.9577,43.748829
279935,3805377.656,464053.9797,43.749176
279936,3805377.865,464053.0018,43.749532
279937,3805378.073,464052.0238,43.750159
279938,3805378.282,464051.0458,43.750735
279939,3805378.491,464050.0678,43.751211
279940,3805378.699,464049.0898,43.751678
279941,3805378.908,464048.1119,43.752684
279942,3805379.117,464047.1339,43.753231
279943,3805379.326,464046.156,43.753657
279944,3805379.535,464045.178,43.754174
279945,3805379.743,464044.2001,43.75464
279946,3805379.952,464043.2221,43.755187
279947,3805380.161,464042.2442,43.755783
279948,3805380.37,464041.2662,43.75664
279949,3805380.579,464040.2883,43.757226
279950,3805380.788,464039.3104,43.757352
279951,3805380.997,464038.3325,43.757619
279952,3805381.206,464037.3545,43.758055
279953,3805381.415,464036.3766,43.759032
279954,3805381.624,464035.3987,43.760228
279955,3805381.833,464034.4207,43.761235
279956,3805382.041,464033.4427,43.761561
279957,3805382.25,464032.4648,43.761988
279958,3805382.459,464031.4869,43.762424
279959,3805382.668,464030.5089,43.762821
279960,3805382.877,464029.531,43.763327
279961,3805383.086,464028.5531,43.763834
279962,3805383.295,464027.5752,43.76422
279963,3805383.504,464026.5972,43.764586
279964,3805383.713,464025.6193,43.765043
279965,3805383.921,464024.6413,43.765789
279966,3805384.13,464023.6633,43.766736
279967,3805384.339,464022.6853,43.767222
279968,3805384.548,464021.7074,43.767769
279969,3805384.757,464020.7295,43.768495
279970,3805384.965,464019.7515,43.769072
279971,3805385.174,464018.7736,43.769808
279972,3805385.384,464017.7958,43.770715
279973,3805385.593,464016.8178,43.771451
279974,3805385.802,464015.8399,43.772017
279975,3805386.01,464014.8619,43.772614
279976,3805386.219,464013.884,43.77329
279977,3805386.428,464012.906,43.773797
279978,3805386.637,464011.928,43.774473
279979,3805386.846,464010.9501,43.7752
279980,3805387.055,464009.9722,43.775676
279981,3805387.264,464008.9943,43.776003
279982,3805387.472,464008.0163,43.776249
279983,3805387.681,464007.0384,43.776836
279984,3805387.89,464006.0604,43.777662
279985,3805388.099,464005.0825,43.778849
279986,3805388.308,464004.1046,43.779405
279987,3805388.517,464003.1266,43.779471
279988,3805388.726,464002.1487,43.779728
279989,3805388.935,464001.1708,43.780574
279990,3805389.144,464000.1928,43.781371
279991,3805389.352,463999.2148,43.781787
279992,3805389.561,463998.2369,43.782194
279993,3805389.77,463997.2589,43.78289
279994,3805389.979,463996.2809,43.783487
279995,3805390.187,463995.303,43.783813
279996,3805390.396,463994.3251,43.78419
279997,3805390.605,463993.3471,43.784636
279998,3805390.814,463992.3691,43.785252
279999,3805391.022,463991.3911,43.786579
279999.47,3805391.12,463990.9316,43.787277
280000,3805391.231,463990.4131,43.788065
280001,3805391.44,463989.4351,43.789232
280002,3805391.649,463988.4572,43.789998
280003,3805391.858,463987.4793,43.790525
280004,3805392.067,463986.5014,43.790901
280005,3805392.275,463985.5234,43.790998
280006,3805392.484,463984.5454,43.791114
280007,3805392.693,463983.5674,43.791431
280008,3805392.902,463982.5895,43.791527
280009,3805393.111,463981.6115,43.791714
280010,3805393.319,463980.6335,43.79197
280011,3805393.528,463979.6556,43.792316
280012,3805393.737,463978.6776,43.792683
280013,3805393.945,463977.6996,43.792979
280014,3805394.154,463976.7217,43.793086
280015,3805394.363,463975.7438,43.793282
280016,3805394.572,463974.7658,43.793689
280017,3805394.78,463973.7878,43.794245
280018,3805394.99,463972.8099,43.794562
280019,3805395.199,463971.832,43.794658
280020,3805395.407,463970.854,43.794785
280021,3805395.616,463969.8761,43.794831
280022,3805395.825,463968.8981,43.795017
280023,3805396.034,463967.9202,43.795064
280024,3805396.243,463966.9422,43.79547
280025,3805396.451,463965.9642,43.795937
280026,3805396.66,463964.9862,43.796043
280027,3805396.869,463964.0083,43.79627
280028,3805397.078,463963.0303,43.796946
280029,3805397.286,463962.0523,43.797873
280030,3805397.495,463961.0744,43.798639
280031,3805397.704,463960.0964,43.799246
280032,3805397.913,463959.1184,43.799692
280033,3805398.121,463958.1405,43.799979
280034,3805398.33,463957.1625,43.799675
280035,3805398.539,463956.1845,43.799491
280036,3805398.747,463955.2065,43.799508
280037,3805398.956,463954.2285,43.799674
280038,3805399.165,463953.2506,43.800051
280039,3805399.373,463952.2726,43.800527
280040,3805399.582,463951.2945,43.800554
280041,3805399.79,463950.3165,43.80064
280042,3805399.999,463949.3386,43.800897
280043,3805400.208,463948.3605,43.801333
280044,3805400.416,463947.3825,43.80184
280045,3805400.625,463946.4046,43.802176
280046,3805400.834,463945.4266,43.802252
280047,3805401.043,463944.4486,43.802499
280048,3805401.251,463943.4707,43.802565
280049,3805401.46,463942.4927,43.802532
280050,3805401.669,463941.5148,43.802688
280051,3805401.878,463940.5368,43.803055
280052,3805402.086,463939.5588,43.803401
280053,3805402.295,463938.5808,43.803748
280054,3805402.504,463937.6028,43.804084
280055,3805402.713,463936.6249,43.804351
280056,3805402.921,463935.6469,43.804497
280057,3805403.13,463934.6689,43.805024
280058,3805403.338,463933.6909,43.80579
280059,3805403.547,463932.7129,43.806446
280060,3805403.756,463931.735,43.806793
280061,3805403.965,463930.7571,43.807269
280062,3805404.174,463929.7792,43.807806
280063,3805404.384,463928.8013,43.808202
280064,3805404.593,463927.8235,43.807819
280065,3805404.802,463926.8457,43.807155
280066,3805405.012,463925.8678,43.806652
280067,3805405.22,463924.8899,43.807058
280068,3805405.429,463923.9119,43.808255
280069,3805405.638,463922.934,43.809481
280070,3805405.847,463921.9561,43.810217
280071,3805406.056,463920.9782,43.810724
280072,3805406.266,463920.0003,43.8112
280073,3805406.475,463919.0224,43.811477
280074,3805406.684,463918.0445,43.811453
280075,3805406.893,463917.0665,43.81096
280076,3805407.101,463916.0886,43.810616
280077,3805407.31,463915.1106,43.810513
280078,3805407.519,463914.1326,43.810799
280079,3805407.727,463913.1547,43.811306
280080,3805407.936,463912.1767,43.811742
280081,3805408.145,463911.1988,43.812009
280082,3805408.354,463910.2209,43.812095
280083,3805408.564,463909.243,43.812781
280084,3805408.772,463908.2651,43.813628
280085,3805408.981,463907.2871,43.814284
280086,3805409.19,463906.3091,43.814521
280087,3805409.399,463905.3312,43.815167
280088,3805409.608,463904.3533,43.815784
280089,3805409.817,463903.3753,43.81608
280090,3805410.026,463902.3974,43.816507
280091,3805410.235,463901.4196,43.816843
280092,3805410.444,463900.4416,43.81713
280093,3805410.652,463899.4636,43.817456
280094,3805410.861,463898.4856,43.817442
280095,3805411.07,463897.5077,43.817569
280096,3805411.278,463896.5296,43.818155
280097,3805411.487,463895.5516,43.818872
280098,3805411.696,463894.5736,43.819508
280099,3805411.905,463893.5957,43.819735
280100,3805412.113,463892.6178,43.819881
280101,3805412.322,463891.6398,43.820478
