测量里程,中线北坐标X,中线东坐标Y,中线高程H
15829.995,3632022.745,507887.0192,26.2283
15830.985,3632021.805,507886.7089,26.228
15831.989,3632020.851,507886.3943,26.2275
15832.989,3632019.902,507886.0812,26.2272
15833.99,3632018.951,507885.7677,26.2272
15834.986,3632018.005,507885.4559,26.2274
15835.988,3632017.054,507885.1429,26.2275
15836.99,3632016.102,507884.8296,26.2273
15837.986,3632015.156,507884.5183,26.2277
15838.988,3632014.204,507884.2045,26.2287
15839.985,3632013.257,507883.8925,26.2296
15840.992,3632012.301,507883.5773,26.2302
15841.993,3632011.35,507883.2638,26.2305
15842.985,3632010.408,507882.9534,26.2304
15843.989,3632009.455,507882.6393,26.23
15844.991,3632008.503,507882.3258,26.2298
15845.992,3632007.552,507882.0125,26.2301
15846.984,3632006.609,507881.7022,26.2304
15847.983,3632005.66,507881.3897,26.2303
15848.994,3632004.701,507881.0733,26.23
15849.99,3632003.755,507880.7619,26.2304
15850.995,3632002.8,507880.4474,26.2316
15851.926,3632001.915,507880.1556,26.2323
15852.992,3632000.904,507879.8219,26.2322
15853.99,3631999.956,507879.5091,26.2312
15854.985,3631999.011,507879.197,26.2304
15855.985,3631998.061,507878.8838,26.2305
15856.981,3631997.115,507878.5713,26.2315
15857.995,3631996.152,507878.2534,26.2326
15858.991,3631995.206,507877.9412,26.2329
15859.982,3631994.266,507877.6312,26.2327
15860.987,3631993.311,507877.3164,26.2327
15861.985,3631992.363,507877.004,26.2331
15862.987,3631991.411,507876.6903,26.2337
15863.985,3631990.464,507876.3779,26.2338
15864.989,3631989.51,507876.0635,26.2336
15865.991,3631988.558,507875.7501,26.2335
15866.99,3631987.61,507875.4381,26.2337
15867.988,3631986.662,507875.1262,26.2339
15868.992,3631985.708,507874.812,26.2338
15869.983,3631984.766,507874.502,26.2341
15870.984,3631983.816,507874.1888,26.2345
15871.989,3631982.861,507873.8743,26.2345
15872.999,3631981.902,507873.558,26.234
15873.986,3631980.965,507873.2486,26.2333
15874.991,3631980.01,507872.9338,26.2325
