¹ìÕí±àºÅ,²âÁ¿Àï³Ì,×ó¹ìºáÆ«,ÓÒ¹ìºáÆ«,×ó¹ìÊúÆ«,ÓÒ¹ìÊúÆ«
03,385008.079,0.2,-0.3,12.1,12.4
04,385008.829,0.3,0,12.2,12.4
05,385009.454,0.3,-0.2,12.2,12.4
06,385010.079,0.4,-0.2,12.2,12.3
07,385010.704,0.5,0,12.2,12.3
08,385011.328,0.6,0,12.3,12.4
09,385012.078,0.7,-0.1,12.3,12.4
00,385012.703,0.7,0,12.3,12.4
01,385013.328,0.7,0,12.4,12.3
02,385013.953,0.7,0,12.4,12.2
03,385014.578,0.8,-0.1,12.2,12.1
04,385015.328,0.8,-0.3,12.1,12
05,385015.952,0.8,-0.5,12,12
06,385016.577,0.8,-0.4,12.1,12.1
07,385017.202,0.7,-0.4,12.2,12.2
08,385017.827,0.6,-0.4,12.4,12.3
09,385018.702,0.5,-0.2,12.9,12.6
00,385019.326,0.6,0,13,12.7
01,385019.952,0.7,0.2,13.2,12.9
02,385020.577,0.6,0,13.5,13.2
03,385021.201,0.6,-0.1,13.6,13.6
04,385021.826,0.7,0.1,13.7,13.8
05,385022.451,0.6,0.1,13.6,13.9
06,385023.201,0.5,-0.2,13.7,14.1
07,385023.826,0.5,-0.3,13.7,14.2
08,385024.451,0.3,-0.6,13.8,14.3
09,385025.076,0.2,-0.6,13.9,14.4
00,385025.7,0.1,-0.7,14,14.4
01,385026.325,0.2,-0.7,14.2,14.5
02,385027.075,0.3,-0.5,14.3,14.5
03,385027.7,0.3,-0.4,14.4,14.6
04,385028.325,0.3,-0.5,14.7,14.7
05,385028.95,0.3,-0.6,14.8,14.9
06,385029.7,0.2,-0.5,14.8,15
07,385030.325,0.1,-0.4,14.8,15
08,385030.95,0.1,-0.2,14.6,15
09,385031.575,-0.1,-0.2,14.5,15
00,385032.199,-0.2,-0.5,14.4,14.8
01,385032.949,-0.2,-0.5,14.3,14.6
02,385033.574,-0.4,-0.5,14.3,14.6
03,385034.199,-0.4,-0.5,14.4,14.5
04,385034.824,-0.3,-0.2,14.4,14.5
05,385035.449,-0.2,-0.2,14.5,14.7
06,385036.199,-0.2,-0.2,14.7,14.9
07,385036.823,-0.1,-0.1,14.8,15
08,385037.448,-0.1,-0.1,14.8,15
