里程,左轨平面偏差量,右轨平面偏差量,左轨高程偏差量,右轨高程偏差量,左轨平面调整量,右轨平面调整量,左轨高程调整量,右轨高程调整量
384866.49,3.10,2.80,9.90,10.00,-0.50,-0.50,0.50,0.50
384867.11,3.20,2.80,9.90,10.10,-0.50,-0.50,0.00,0.00
384867.74,3.20,2.80,10.10,10.30,-0.50,-0.50,0.50,0.50
384868.49,3.20,2.50,10.40,10.50,-0.50,0.00,0.00,0.00
384869.11,3.30,2.50,10.60,10.70,-0.50,0.00,-0.50,-0.50
384869.74,3.50,2.70,10.60,10.60,-1.00,-0.50,0.00,0.00
384870.36,3.40,2.70,10.40,10.40,-1.00,-0.50,0.00,0.00
384871.11,3.10,2.50,10.20,10.40,-0.50,0.00,0.00,0.00
384871.74,2.70,2.40,10.20,10.40,0.00,0.00,0.00,0.00
384872.36,2.50,2.40,10.30,10.50,0.00,0.00,0.00,0.00
384872.99,2.40,2.30,10.50,10.60,0.00,0.00,0.00,0.00
384873.61,2.60,2.40,10.70,10.70,0.00,0.00,-0.50,-0.50
384874.24,2.60,2.30,10.90,10.90,0.00,0.00,-0.50,-0.50
384874.99,2.70,2.30,10.90,10.90,0.00,0.00,-0.50,-0.50
384875.61,2.80,2.50,10.60,10.80,0.00,0.00,0.00,0.00
384876.24,2.80,2.70,10.40,10.60,-0.50,-0.50,0.00,0.00
384876.86,2.70,2.60,10.40,10.60,0.00,0.00,0.00,0.00
384877.49,2.50,2.40,10.50,10.60,0.00,0.00,0.00,0.00
384878.24,2.60,2.60,10.60,10.60,0.00,-0.50,0.00,0.00
384878.86,2.70,2.60,10.50,10.60,0.00,0.00,0.00,0.00
384879.49,2.70,2.50,10.40,10.60,-0.50,-0.50,0.00,0.00
384880.11,2.80,2.40,10.40,10.70,0.00,0.00,0.50,0.00
384880.74,2.90,2.50,10.40,10.70,-0.50,-0.50,0.50,0.00
384881.49,3.20,2.70,10.40,10.70,-0.50,-0.50,0.50,0.00
384882.11,3.30,2.80,10.40,10.70,-1.00,-0.50,0.00,-0.50
384882.74,3.20,2.80,10.50,10.70,-0.50,-0.50,0.00,0.00
384883.36,3.00,2.50,10.60,10.60,-0.50,-0.50,0.00,0.00
384883.99,3.00,2.50,10.50,10.50,-0.50,-0.50,0.00,0.00
384884.74,3.20,2.80,10.30,10.20,-1.00,-1.00,0.50,0.50
384885.36,3.30,2.80,10.20,10.00,-1.00,-0.50,0.50,0.50
384885.99,3.30,2.90,10.20,9.90,-1.00,-1.00,0.50,1.00
384886.61,3.30,3.10,10.30,9.90,-1.00,-1.00,0.50,1.00
384887.24,3.10,2.90,10.50,10.20,-1.00,-1.00,0.00,0.50
384887.99,3.10,2.60,10.60,11.00,-0.50,-0.50,0.00,-0.50
384888.74,3.10,2.40,10.70,11.00,-1.00,-0.50,0.50,0.00
384889.36,3.10,2.40,10.70,11.10,-1.00,-0.50,0.00,-0.50
384889.99,3.00,2.60,10.70,11.00,-0.50,-0.50,0.50,0.00
384890.61,2.80,2.60,10.60,10.80,-0.50,-0.50,0.00,0.00
384891.23,2.60,2.60,10.50,10.60,-0.50,-0.50,0.50,0.50
384891.86,2.50,2.50,10.50,10.50,0.00,-0.50,0.50,0.50
384892.48,2.60,2.30,10.70,10.60,-0.50,-0.50,0.00,0.00
384893.11,2.70,2.40,11.00,11.10,-0.50,-0.50,0.00,0.00
384893.73,2.70,2.20,11.20,11.60,-0.50,0.00,0.00,-0.50
384894.48,2.40,2.00,11.30,11.70,0.00,0.00,-0.50,-1.00
384895.11,2.40,2.00,11.20,11.60,0.00,0.00,0.00,-0.50
384895.73,2.50,2.10,11.00,11.30,-0.50,-0.50,0.00,-0.50
384896.36,2.50,2.10,10.80,11.10,-0.50,-0.50,0.50,0.00
384896.98,2.40,2.10,10.80,11.10,0.00,0.00,0.50,0.00
384897.73,2.30,2.20,11.10,11.40,-0.50,-0.50,0.00,-0.50
384898.36,2.20,2.20,11.30,11.70,0.00,-0.50,0.00,-0.50
384898.98,2.30,2.10,11.40,11.90,0.00,0.00,0.00,-0.50
384899.61,2.40,2.50,11.40,11.90,0.00,-0.50,0.00,-0.50
384900.23,2.20,1.90,11.30,11.80,0.00,0.00,0.00,-0.50
384900.98,2.20,1.90,11.20,11.40,0.00,0.00,0.00,0.00
384901.61,2.00,2.00,11.30,11.40,0.00,0.00,0.00,0.00
384902.23,1.80,2.00,11.50,11.50,0.50,0.00,0.00,0.00
384902.86,1.70,2.20,11.60,11.60,0.50,-0.50,0.00,0.00
384903.48,1.80,2.20,11.60,11.60,0.00,-0.50,0.00,0.00
384904.23,2.00,1.90,11.60,11.50,0.00,0.00,0.00,0.00
384904.86,2.10,1.90,11.50,11.40,0.00,0.00,0.00,0.00
384905.48,2.10,1.70,11.30,11.20,0.00,0.00,0.50,0.50
384906.11,2.20,1.80,11.10,10.90,0.00,0.00,0.50,0.50
384906.86,2.20,1.80,10.80,10.60,-0.50,-0.50,1.00,1.00
384907.48,2.30,2.10,10.70,10.50,-0.50,-0.50,1.00,1.00
384908.10,2.50,2.20,10.60,10.30,-0.50,-0.50,1.50,2.00
384908.73,2.70,2.20,10.60,10.30,-1.00,-0.50,1.00,1.50
384909.36,2.70,2.10,10.60,10.40,-1.00,-0.50,1.50,1.50
384909.98,2.60,2.00,10.60,10.50,-1.00,-0.50,1.50,1.50
384910.73,2.50,2.10,10.30,10.40,-0.50,-0.50,1.50,1.50
384911.35,2.40,2.20,10.20,10.20,-0.50,-0.50,2.00,2.00
384911.98,2.30,2.10,10.10,10.20,-0.50,-0.50,2.00,2.00
384912.60,2.20,2.00,10.00,10.10,-0.50,-0.50,2.00,2.00
384913.23,2.10,2.00,9.90,10.10,-0.50,-0.50,2.50,2.50
384913.98,2.10,2.10,9.90,10.20,-0.50,-0.50,2.50,2.00
384914.60,2.20,2.30,10.00,10.20,-0.50,-1.00,2.50,2.50
384915.23,2.10,2.10,9.90,10.10,-0.50,-0.50,2.50,2.50
384915.85,2.20,2.00,9.90,9.90,-0.50,-0.50,2.50,2.50
384916.48,2.40,1.80,9.80,9.50,-0.50,0.00,2.50,3.00
384917.23,2.50,1.60,9.70,9.20,-0.50,0.00,3.00,3.50
384917.85,2.50,1.60,9.60,9.10,-0.50,0.00,3.00,3.50
384918.48,2.50,1.60,9.60,9.20,-1.00,-0.50,3.50,4.00
384919.10,2.70,1.80,9.70,9.40,-1.00,-0.50,3.00,3.50
384919.73,2.80,1.80,9.80,9.70,-1.00,-0.50,3.50,3.50
384920.48,2.50,1.50,10.00,10.10,-1.00,0.00,3.00,3.00
384921.10,2.40,1.40,10.20,10.40,-1.00,0.00,3.00,3.00
384921.73,2.50,1.60,10.20,10.60,-1.00,-0.50,3.00,2.50
384922.35,2.50,1.70,10.20,10.80,-1.00,-0.50,3.00,2.50
384922.98,2.50,1.70,10.30,11.00,-1.00,-0.50,3.00,2.50
384923.73,2.40,1.90,10.70,11.40,-1.00,-0.50,3.00,2.50
384924.35,2.50,2.00,11.10,11.70,-1.00,-1.00,2.50,2.00
384924.98,2.50,2.20,11.40,11.90,-1.00,-1.00,2.50,2.00
384925.60,2.50,2.30,11.60,12.00,-1.00,-1.00,2.00,1.50
384926.23,2.40,2.10,11.60,11.90,-1.00,-1.00,2.00,1.50
384926.98,2.40,2.00,11.70,11.80,-1.00,-1.00,2.00,2.00
384927.60,2.50,1.90,11.80,11.80,-1.00,-0.50,2.00,2.00
384928.23,2.50,1.80,11.90,12.00,-1.50,-1.00,2.00,2.00
384928.85,2.20,1.40,12.10,12.40,-1.00,-0.50,2.00,1.50
384929.47,2.10,1.40,12.40,12.80,-1.00,-0.50,2.00,1.50
384930.22,2.10,1.50,12.40,13.10,-1.00,-0.50,2.00,1.50
384930.85,2.00,1.60,12.40,13.20,-0.50,-0.50,2.00,1.00
384931.47,2.00,1.60,12.40,13.30,-1.00,-1.00,2.00,1.00
384932.10,2.10,1.60,12.50,13.30,-1.00,-0.50,2.00,1.00
384932.85,2.20,1.50,12.50,13.20,-1.00,-0.50,2.00,1.50
384933.47,2.30,1.50,12.60,13.10,-1.00,-0.50,2.00,1.50
384934.10,2.40,1.60,12.70,13.20,-1.50,-1.00,2.00,1.50
384934.72,2.50,1.70,12.80,13.30,-1.50,-1.00,2.00,1.50
384935.35,2.40,1.50,12.90,13.40,-1.50,-1.00,2.00,1.50
384936.10,2.10,1.20,12.90,13.50,-1.00,-0.50,2.00,1.50
384936.72,2.00,1.30,12.90,13.50,-1.00,-0.50,2.00,1.50
384937.35,1.90,1.00,12.90,13.40,-0.50,0.00,2.00,1.50
384937.97,1.90,1.00,12.80,13.30,-0.50,0.00,2.50,2.00
384938.60,2.00,1.20,12.70,13.20,-1.00,-0.50,2.50,2.00
384939.22,2.10,1.20,12.60,13.20,-1.00,-0.50,2.50,2.00
384939.97,2.10,1.10,12.50,13.00,-1.00,-0.50,3.00,2.50
384940.60,2.20,1.30,12.30,12.90,-1.00,-0.50,3.00,2.50
384941.22,2.20,1.30,12.20,12.80,-1.50,-1.00,3.50,3.00
384941.85,2.10,1.10,12.20,12.80,-1.00,-0.50,3.50,3.00
384942.47,2.00,1.10,12.20,12.80,-1.00,-0.50,3.50,3.00
384943.22,2.20,1.30,12.20,12.70,-1.00,-0.50,3.50,3.00
384943.85,2.30,1.40,12.10,12.60,-1.50,-1.00,3.50,3.00
384944.47,2.40,1.70,12.00,12.50,-1.50,-1.00,4.00,3.50
